NAME,PRICE,VALUE,LAT,LNG
A&W Burgers Chicken Floats,$,3,38.0363587,-84.4863409
A&W Burgers Chicken Floats,$,3,38.0409142,-84.426381
A&W Burgers Chicken Floats,$,3,38.0677085,-84.5303749
A&W Burgers Chicken Floats,$,3,38.0971832,-84.4909045
A&W Burgers Chicken Floats,$,3,37.9890045,-84.5271847
Arby's ,$,3,38.0719913,-84.4815641
Arby's ,$,3,38.0199719,-84.4142138
Arby's ,$,3,38.0126446,-84.5207217
Arby's ,$,3,38.0422143,-84.4229615
Arby's ,$,3,38.0346989,-84.5208475
Arby's ,$,3,38.0393652,-84.5072222
Arby's,$,3,37.9937577,-84.4959374
Waffle House,$,3,38.0416943,-84.4234341
Waffle House,$,3,38.0081248,-84.4543079
Blaze Fast-Fire'd Pizza,$,3,38.042782,-84.502651
Burger King,$,3,38.0084828,-84.5183946
Burger King,$,3,38.02709,-84.5363566
Waffle House,$,3,38.0401103,-84.5141705
Captain D's,$,3,37.9903889,-84.520177
Captian D's ,$,3,38.069223,-84.4738976
Captian D's ,$,3,38.0066991,-84.4497663
Chick-fil-A,$,3,38.0168956,-84.418666
Chick-fil-A,$,3,38.0260366,-84.5369585
Chick-fil-A,$,3,37.9994433,-84.5201333
Chipotle Mexican Grill,$,3,38.0427063,-84.5026938
Chipotle Mexican Grill,$,3,38.0172424,-84.4184068
Chipotle Mexican Grill,$,3,38.0052913,-84.4493679
Cook Out,$,3,38.0404432,-84.5136645
Culver's,$,3,37.9962788,-84.5311863
Culver's,$,3,38.0206598,-84.4216007
Dairy Queen ,$,3,38.0716622,-84.4797315
Dairy Queen ,$,3,38.0223506,-84.4541828
Fazoli's,$,3,38.0026471,-84.5706125
Firehouse Subs,$,3,37.9994477,-84.4451073
Five Guys,$,3,38.0017511,-84.5205551
Freddy's Frozen Custard & Steakburgers,$,3,38.0265766,-84.4113323
Gold Star Chili,$,3,38.0044259,-84.5713225
Hardee's,$,3,38.0428187,-84.4621213
Hardee's,$,3,38.0055744,-84.451341
Hardee's,$,3,38.0677577,-84.4735278
Indi's Fast Food Restaurant,$,3,38.0575704,-84.4869237
Jersey Mike's Subs ,$,3,38.0393222,-84.4269736
Jimmy John's,$,3,38.0328926,-84.4937656
Joella's Hot Chicken,$,3,38.0277438,-84.4899809
KFC,$,3,38.0033249,-84.5200315
Lee's Famous Recipe ,$,3,38.0713227,-84.4834931
Lee's Famous Recipe ,$,3,38.0493839,-84.5237097
Waffle House,$,3,37.9830646,-84.4963357
McDonald's,$,3,38.042496,-84.4240802
McDonald's,$,3,38.0669046,-84.5266276
McDonald's,$,3,38.0423855,-84.5031041
McDonald's,$,3,37.9714138,-84.4979617
McDonald's,$,3,38.019503,-84.4154376
McDonald's,$,3,38.0473256,-84.5531279
McDonald's,$,3,37.962321,-84.3868206
MOD Pizza ,$,3,38.04094,-84.428077
MOD Pizza ,$,3,37.9717982,-84.4982626
Newk's Eatery,$,3,38.0157637,-84.4609512
Panda Express ,$,3,38.0150424,-84.4605125
Panda Express ,$,3,38.002353,-84.5202566
Parkette Drive-In,$,3,38.0311784,-84.4533142
Popeyes Louisiana Kitchen ,$,3,38.065129,-84.469264
QDOBA Mexican Eats,$,3,38.0044259,-84.5713225
QDOBA Mexincan Eats,$,3,38.0378236,-84.4997798
QDOBA Mexincan Eats,$,3,38.0099159,-84.456267
Raising Cane's Chicken Fingers,$,3,38.0402209,-84.4282537
Raising Cane's Chicken Fingers,$,3,38.0424743,-84.5041711
Raising Cane's Chicken Fingers,$,3,38.0253452,-84.5360267
